iter	Passed	Remaining
731	8707	3188
732	8719	3176
733	8730	3164
734	8741	3151
735	8751	3139
736	8761	3126
737	8774	3114
738	8785	3102
739	8796	3090
740	8807	3078
741	8817	3065
742	8828	3053
743	8840	3041
744	8850	3029
745	8860	3016
746	8871	3004
747	8882	2992
748	8892	2980
749	8904	2968
750	8915	2955
751	8926	2943
752	8936	2931
753	8947	2919
754	8957	2906
755	8967	2894
756	8979	2882
757	8990	2870
758	9000	2857
759	9011	2845
760	9021	2833
761	9046	2825
762	9055	2812
763	9064	2800
764	9075	2787
765	9085	2775
766	9096	2763
767	9107	2751
768	9117	2738
769	9130	2727
770	9142	2715
771	9152	2703
772	9167	2692
773	9178	2679
774	9188	2667
775	9200	2655
776	9211	2643
777	9222	2631
778	9233	2619
779	9244	2607
780	9254	2595
781	9265	2583
782	9280	2571
783	9289	2559
784	9299	2546
785	9309	2534
786	9319	2522
787	9329	2510
788	9341	2498
789	9351	2485
790	9360	2473
791	9372	2461
792	9383	2449
793	9393	2437
794	9403	2424
795	9413	2412
796	9424	2400
797	9434	2388
798	9446	2376
799	9458	2364
800	9468	2352
801	9479	2340
802	9490	2328
803	9500	2316
804	9511	2303
805	9522	2292
806	9534	2280
807	9544	2267
808	9554	2255
809	9564	2243
810	9577	2232
811	9590	2220
812	9602	2208
813	9613	2196
814	9625	2184
815	9638	2173
816	9650	2161
817	9662	2149
818	9674	2138
819	9685	2126
820	9697	2114
821	9708	2102
822	9720	2090
823	9732	2078
824	9744	2067
825	9756	2055
826	9769	2043
827	9781	2031
828	9794	2020
829	9805	2008
830	9816	1996
831	9829	1984
832	9841	1973
833	9853	1961
834	9865	1949
835	9877	1937
836	9889	1925
837	9901	1914
838	9913	1902
839	9926	1890
840	9937	1878
841	9950	1867
842	9962	1855
843	9974	1843
844	9986	1831
845	9998	1819
846	10009	1808
847	10021	1796
848	10032	1784
849	10044	1772
850	10056	1760
851	10068	1748
852	10079	1736
853	10090	1725
854	10100	1712
855	10112	1701
856	10125	1689
857	10135	1677
858	10146	1665
859	10158	1653
860	10169	1641
861	10181	1629
862	10193	1618
863	10204	1606
864	10216	1594
865	10227	1582
866	10239	1570
867	10250	1558
868	10262	1547
869	10273	1535
870	10284	1523
871	10295	1511
872	10305	1499
873	10316	1487
874	10327	1475
875	10339	1463
876	10350	1451
877	10362	1439
878	10373	1428
879	10385	1416
880	10396	1404
881	10407	1392
882	10418	1380
883	10429	1368
884	10439	1356
885	10449	1344
886	10459	1332
887	10469	1320
888	10480	1308
889	10490	1296
890	10500	1284
891	10512	1272
892	10523	1260
893	10533	1248
894	10544	1237
895	10554	1225
896	10563	1213
897	10573	1201
898	10585	1189
899	10594	1177
900	10605	1165
901	10616	1153
902	10627	1141
903	10637	1129
904	10648	1117
905	10658	1105
906	10668	1093
907	10678	1081
908	10689	1070
909	10699	1058
910	10710	1046
911	10720	1034
912	10731	1022
913	10741	1010
914	10752	998
915	10763	987
916	10773	975
917	10784	963
918	10795	951
919	10805	939
920	10815	927
921	10826	915
922	10837	904
923	10847	892
924	10857	880
925	10867	868
926	10878	856
927	10888	844
928	10899	833
929	10911	821
930	10923	809
931	10933	797
932	10944	785
933	10954	774
934	10964	762
935	10975	750
936	10985	738
937	10994	726
938	11005	714
939	11015	703
940	11026	691
941	11036	679
942	11047	667
943	11057	655
944	11068	644
945	11078	632
946	11089	620
947	11099	608
948	11115	597
949	11126	585
950	11136	573
951	11147	562
952	11158	550
953	11169	538
954	11179	526
955	11189	515
956	11200	503
957	11211	491
958	11223	479
959	11233	468
960	11244	456
961	11254	444
962	11265	432
963	11276	421
964	11288	409
965	11299	397
966	11310	386
967	11322	374
968	11333	362
969	11343	350
970	11354	339
971	11364	327
972	11375	315
973	11385	303
974	11395	292
975	11406	280
976	11417	268
977	11428	257
978	11438	245
979	11449	233
980	11459	221
981	11471	210
982	11481	198
983	11492	186
984	11502	175
985	11512	163
986	11522	151
987	11532	140
988	11544	128
989	11556	116
990	11567	105
991	11579	93
992	11590	81
993	11602	70
994	11613	58
995	11622	46
996	11632	35
997	11642	23
998	11654	11
999	11664	0
